arrangement,prey_speed,pred_speed,mean,std,count
mixed,0.6,1.4,-0.6666666666666666,8.154023254694287,15
mixed,0.8,0.2,-44.0,7.606388292556649,15
mixed,0.8,0.4,-69.83333333333333,8.837151016885368,15
mixed,0.8,0.6,-80.33333333333333,7.125574329400369,15
mixed,0.8,0.8,-86.16666666666667,4.51848057057532,15
mixed,0.8,1.0,-60.5,19.230741758222138,15
mixed,0.8,1.2,-33.166666666666664,21.117584638219896,15
mixed,0.8,1.4,-16.333333333333332,29.259715521189747,15
mixed,1.0,0.2,-44.0,7.547468828308317,15
mixed,1.0,0.4,-67.83333333333333,8.549575316659775,15
mixed,1.0,0.6,-78.16666666666667,11.857286287141681,15
mixed,1.0,0.8,-86.16666666666667,6.935073041809876,15
mixed,1.0,1.0,-89.5,4.928053803045811,15
mixed,1.0,1.2,-63.666666666666664,19.26939344685047,15
mixed,1.0,1.4,-40.833333333333336,24.139968832583342,15
mixed,1.2,0.2,-43.333333333333336,7.420210496308296,15
mixed,1.2,0.4,-69.66666666666667,8.957571949925676,15
mixed,1.2,0.6,-79.16666666666667,7.999255917777305,15
mixed,1.2,0.8,-88.33333333333333,3.971625551812446,15
mixed,1.2,1.0,-84.5,13.43635792488851,15
mixed,1.2,1.2,-87.0,5.277986629117476,15
mixed,1.2,1.4,-68.83333333333333,18.39222144070176,15
mixed,1.4,0.2,-44.166666666666664,7.4801324154309565,15
mixed,1.4,0.4,-69.83333333333333,8.837151016885368,15
mixed,1.4,0.6,-80.5,7.083683464735802,15
mixed,1.4,0.8,-85.66666666666667,7.286647932708022,15
mixed,1.4,1.0,-87.5,11.259916264596034,15
mixed,1.4,1.2,-83.0,12.1081436585937,15
mixed,1.4,1.4,-88.33333333333333,5.232681184722835,15
